English,Marathi
belief,विश्वास
demonstrate,प्रात्यक्षिक
anybody,कोणीही
murder,खून
gift,भेट
religion,धर्म
review,पुनरावलोकन
editor,संपादक
past,भूतकाळ
engage,गुंतणे
coffee,कॉफी
document,दस्तऐवज
speed,गती
cross,फुली
influence,प्रभाव
anyway,असो
threaten,धमकी देणे
commit,वचनबद्ध
female,स्त्री
youth,तरुण
wave,लाट
move,हलवा
afraid,भीती
quarter,तिमाहीत
background,पार्श्वभूमी
native,मुळ
broad,व्यापक
wonderful,अद्भुत
deny,नाकारणे
apparently,वरवर पाहता
slightly,किंचित
reaction,प्रतिक्रिया
twice,दोनदा
suit,सूट
perspective,दृष्टीकोन
growing,वाढत आहे
blow,फुंकणे
construction,बांधकाम
kind,दयाळू
intelligence,बुद्धिमत्ता
destroy,नष्ट करणे
cook,कूक
connection,कनेक्शन
charge,शुल्क
burn,जाळणे
shoe,बूट
view,दृश्य
grade,ग्रेड
context,संदर्भ
committee,समिती
hey,अहो
mistake,चूक
focus,लक्ष केंद्रित
smile,स्मित
location,स्थान
clothes,कपडे
Indian,भारतीय
quiet,शांत
dress,ड्रेस
promise,वचन
aware,जाणीव
neighbor,शेजारी
complete,पूर्ण
drive,ड्राइव्ह
function,कार्य
bone,हाड
active,सक्रिय
extend,वाढवणे
chief,प्रमुख
average,सरासरी
combine,एकत्र
wine,वाइन
below,खाली
cool,थंड
voter,मतदार
mean,अर्थ
demand,मागणी
learning,शिकणे
bus,बस
hell,नरक
dangerous,धोकादायक
remind,आठवण करून द्या
moral,नैतिक
United,संयुक्त
category,श्रेणी
relatively,तुलनेने
victory,विजय
key,की
academic,शैक्षणिक
visit,भेट
Internet,इंटरनेट
healthy,निरोगी
fire,आग
negative,नकारात्मक
following,खालील
historical,ऐतिहासिक
medicine,औषध
tour,फेरफटका
depend,अवलंबून
photo,छायाचित्र
finding,शोधणे
grab,झडप घालणे
direct,थेट
classroom,वर्ग
contact,संपर्क
justice,न्याय
participate,सहभागी होणे
daily,दररोज
fair,योग्य
pair,जोडी
famous,प्रसिद्ध
exercise,व्यायाम
knee,गुडघा
flower,फूल
tape,टेप
hire,भाड्याने
familiar,परिचित
appropriate,योग्य
supply,पुरवठा
fully,पूर्णपणे
cut,कट
will,इच्छा
actor,अभिनेता
birth,जन्म
search,शोध
tie,बांधणे
democracy,लोकशाही
eastern,पूर्वेकडील
primary,प्राथमिक
yesterday,काल
circle,वर्तुळ
device,डिव्हाइस
progress,प्रगती
next,पुढे
front,समोर
bottom,तळाशी
island,बेट
exchange,देवाणघेवाण
clean,स्वच्छ
studio,स्टुडिओ
train,ट्रेन
lady,बाई
colleague,सहकारी
application,अर्ज
neck,मान
lean,दुबळा
damage,नुकसान
plastic,प्लास्टिक
tall,उंच
plate,प्लेट
hate,द्वेष
otherwise,अन्यथा
writing,लेखन
press,दाबा
male,पुरुष
start,प्रारंभ
alive,जिवंत
expression,अभिव्यक्ती
football,फुटबॉल
intend,हेतू
attack,हल्ला
chicken,चिकन
army,सैन्य
abuse,गैरवर्तन
theater,थिएटर
shut,बंद
map,नकाशा
extra,अतिरिक्त
session,सत्र
danger,धोका
welcome,स्वागत
domestic,घरगुती
lots,बरेच
literature,साहित्य
rain,पाऊस
desire,इच्छा
assessment,मूल्यांकन
injury,इजा
respect,आदर
northern,उत्तर
nod,होकार
paint,रंग
fuel,इंधन
leaf,पान
direct,थेट
dry,कोरडे
Russian,रशियन
instruction,सूचना
fight,लढा
pool,पूल
climb,चढणे
sweet,गोड
lead,आघाडी
engine,इंजिन
fourth,चौथा
salt,मीठ
expand,विस्तृत करा
importance,महत्त्व
metal,धातू
fat,चरबी
ticket,तिकीट
software,सॉफ्टवेअर
disappear,अदृश्य
corporate,कॉर्पोरेट
strange,विचित्र
lip,ओठ
reading,वाचन
urban,शहरी
mental,वेडा
increasingly,वाढत्या
lunch,दुपारचे जेवण
educational,शैक्षणिक
somewhere,कुठेतरी
farmer,शेतकरी
above,वर
sugar,साखर
planet,ग्रह
favorite,आवडते
explore,अन्वेषण
obtain,मिळवणे
enemy,शत्रू
greatest,महान
complex,जटिल
surround,घेरणे
athlete,धावपटू
invite,आमंत्रित करा
repeat,पुनरावृत्ती
carefully,काळजीपूर्वक
soul,आत्मा
scientific,वैज्ञानिक
impossible,अशक्य
panel,पटल
meaning,अर्थ
mom,आई
married,विवाहित
alone,एकटा
instrument,साधन
predict,अंदाज
weather,हवामान
presidential,अध्यक्षीय
emotional,भावनिक
commitment,वचनबद्धता
Supreme,सर्वोच्च
bear,अस्वल
pocket,खिसा
thin,पातळ
temperature,तापमान
surprise,आश्चर्य
poll,मतदान
proposal,प्रस्ताव
consequence,परिणाम
half,अर्धा
breath,श्वास
sight,दृष्टी
cover,कव्हर
balance,शिल्लक
adopt,दत्तक घेणे
minority,अल्पसंख्याक
straight,सरळ
attempt,प्रयत्न
connect,कनेक्ट करा
works,कार्य करते
teaching,शिक्षण
belong,संबंधित
aid,मदत
advice,सल्ला
okay,ठीक आहे
photograph,फोटो
empty,रिक्त
regional,प्रादेशिक
trail,माग
novel,कादंबरी
code,कोड
somehow,कसा तरी
organize,आयोजित करणे
jury,जूरी
breast,स्तन
Iraqi,इराकी
human,मानव
acknowledge,कबूल करणे
theme,थीम
storm,वादळ
union,संघ
record,विक्रम
desk,डेस्क
fear,भीती
thanks,धन्यवाद
fruit,फळ
under,अंतर्गत
expensive,महाग
yellow,पिवळा
conclusion,निष्कर्ष
prime,अविभाज्य
shadow,सावली
struggle,संघर्ष
conclude,निष्कर्ष काढणे
analyst,विश्लेषक
dance,नृत्य
limit,मर्यादा
like,जसे
regulation,नियमन
being,अस्तित्व
last,शेवटचे
ring,अंगठी
largely,मोठ्या प्रमाणावर
shift,शिफ्ट
revenue,महसूल
mark,चिन्ह
locate,शोधून काढणे
county,काउंटी
appearance,देखावा
package,पॅकेज
difficulty,अडचण
bridge,पूल
recommend,शिफारस करा
obvious,स्पष्ट
train,ट्रेन
basically,मुळात
e-mail,ई-मेल
generate,उत्पन्न करा
anymore,यापुढे
propose,प्रस्ताव
thinking,विचार
possibly,शक्यतो
trend,कल
visitor,पाहुणे
loan,कर्ज
currently,सध्या
comfortable,आरामदायक
investor,गुंतवणूकदार
but,परंतु
profit,नफा
angry,राग
crew,चालक दल
deep,खोल
accident,अपघात
male,पुरुष
meal,जेवण
hearing,सुनावणी
traffic,रहदारी
muscle,स्नायू
notion,कल्पना
capture,पकडणे
prefer,प्राधान्य
truly,खरोखर
earth,पृथ्वी
Japanese,जपानी
chest,छाती
search,शोध
thick,जाड
cash,रोख
museum,संग्रहालय
beauty,सौंदर्य
emergency,आणीबाणी
unique,अद्वितीय
feature,वैशिष्ट्य
internal,अंतर्गत
ethnic,वांशिक
link,दुवा
stress,ताण
content,सामग्री
select,निवडा
root,मूळ
nose,नाक
declare,घोषित करा
outside,बाहेर
appreciate,प्रशंसा
actual,वास्तविक
bottle,बाटली
hardly,महत्प्रयासाने
setting,सेटिंग
launch,प्रक्षेपण
dress,ड्रेस
file,फाइल
sick,आजारी
outcome,परिणाम
ad,जाहिरात
defend,बचाव
matter,बाब
judge,न्यायाधीश
duty,कर्तव्य
sheet,पत्रक
ought,पाहिजे
ensure,खात्री करा
Catholic,कॅथोलिक
extremely,अत्यंत
extent,विस्तार
component,घटक
mix,मिसळा
long-term,दीर्घकालीन
slow,मंद
contrast,कॉन्ट्रास्ट
zone,झोन
wake,जागे
challenge,आव्हान
airport,विमानतळ
chief,प्रमुख
brown,तपकिरी
standard,मानक
shirt,शर्ट
pilot,पायलट
warn,चेतावणी
ultimately,शेवटी
cat,मांजर
contribution,योगदान
capacity,क्षमता
ourselves,स्वतःला
estate,इस्टेट
guide,मार्गदर्शन
circumstance,परिस्थिती
snow,बर्फ
English,इंग्रजी
politician,राजकारणी
steal,चोरी
pursue,पाठपुरावा
slip,स्लिप
percentage,टक्केवारी
meat,मांस
funny,मजेदार
neither,एकही नाही
soil,माती
influence,प्रभाव
surgery,शस्त्रक्रिया
correct,योग्य
Jewish,ज्यू
blame,दोष
estimate,अंदाज
due,देय
basketball,बास्केटबॉल
late,उशीरा
golf,गोल्फ
investigate,चौकशी
crazy,वेडा
significantly,लक्षणीय
chain,साखळी
address,पत्ता
branch,शाखा
combination,संयोजन
just,फक्त
frequently,वारंवार
governor,राज्यपाल
relief,आराम
user,वापरकर्ता
dad,बाबा
kick,लाथ मारणे
part,भाग
manner,पद्धत
ancient,प्राचीन
silence,शांतता
rating,रेटिंग
golden,सोनेरी
motion,गती
German,जर्मन
gender,लिंग
solve,सोडवणे
fee,फी
landscape,लँडस्केप
used,वापरले
bowl,वाटी
equal,समान
long,लांब
official,अधिकृत
forth,पुढे
frame,फ्रेम
typical,ठराविक
except,वगळता
conservative,पुराणमतवादी
eliminate,दूर करणे
host,यजमान
hall,हॉल
trust,विश्वास
ocean,महासागर
score,धावसंख्या
row,पंक्ती
producer,निर्माता
afford,परवडणे
meanwhile,दरम्यान
regime,शासन
division,विभागणी
confirm,पुष्टी
fix,निराकरण
appeal,आवाहन
mirror,आरसा
tooth,दात
smart,हुशार
length,लांबी
entirely,संपूर्णपणे
rely,विसंबून
topic,विषय
complain,तक्रार
issue,समस्या
variable,चल
back,परत
range,श्रेणी
telephone,टेलिफोन
perception,समज
attract,आकर्षित करणे
confidence,आत्मविश्वास
bedroom,बेडरूम
secret,गुप्त
debt,कर्ज
rare,दुर्मिळ
his,त्याचा
tank,टाकी
nurse,परिचारिका
coverage,कव्हरेज
opposition,विरोध
aside,बाजूला
anywhere,कुठेही
bond,बंधन
file,फाइल
pleasure,आनंद
master,मास्टर
era,युग
requirement,आवश्यकता
check,तपासा
stand,उभे
fun,मजा
expectation,अपेक्षा
wing,पंख
separate,वेगळे
now,आता
clear,स्पष्ट
struggle,संघर्ष
mean,अर्थ
somewhat,काहीसे
pour,ओतणे
stir,ढवळणे
judgment,निर्णय
clean,स्वच्छ
except,वगळता
beer,बिअर
English,इंग्रजी
reference,संदर्भ
tear,फाडणे
doubt,शंका
grant,अनुदान
seriously,गंभीरपणे
account,खाते
minister,मंत्री
totally,पूर्णपणे
hero,नायक
industrial,औद्योगिक
cloud,ढग
stretch,ताणून लांब करणे
winner,विजेता
volume,खंड
travel,प्रवास
seed,बियाणे
surprised,आश्चर्यचकित
rest,उर्वरित
fashion,फॅशन
pepper,मिरपूड
separate,वेगळे
busy,व्यस्त
intervention,हस्तक्षेप
copy,कॉपी
tip,टीप
below,खाली
cheap,स्वस्त
aim,लक्ष्य
cite,उद्धृत करा
welfare,कल्याण
vegetable,भाजी
gray,राखाडी
dish,ताटली
beach,समुद्रकिनारा
improvement,सुधारणा
everywhere,सर्वत्र
opening,उघडणे
overall,एकूणच
divide,विभागणे
initial,प्रारंभिक
terrible,भयानक
oppose,विरोध
contemporary,समकालीन
route,मार्ग
multiple,एकाधिक
essential,आवश्यक
question,प्रश्न
league,लीग
criminal,गुन्हेगार
careful,काळजीपूर्वक
core,कोर
upper,वरील
rush,गर्दी
necessarily,अपरिहार्यपणे
specifically,विशेषत
tired,थकलेले
rise,उदय
tie,बांधणे
employ,नोकरी
holiday,सुट्टी
dance,नृत्य
vast,विशाल
resolution,ठराव
household,घरगुती
fewer,कमी
abortion,गर्भपात
apart,वेगळे
witness,साक्षीदार
match,जुळणे
barely,जेमतेम
sector,क्षेत्र
representative,प्रतिनिधी
lack,अभाव
beneath,खाली
beside,बाजूला
black,काळा
incident,घटना
limited,मर्यादित
proud,अ भी मा न
flow,प्रवाह
faculty,विद्याशाखा
increased,वाढले
waste,कचरा
merely,फक्त
mass,वस्तुमान
emphasize,जोर देणे
experiment,प्रयोग
definitely,निश्चितपणे
bomb,बॉम्ब
enormous,प्रचंड
tone,टोन
liberal,उदारमतवादी
massive,प्रचंड
engineer,अभियंता
wheel,चाक
female,स्त्री
decline,घट
invest,गुंतवणूक करा
promise,वचन
cable,केबल
towards,दिशेने
expose,उघड करणे
rural,ग्रामीण
AIDS,एड्स
Jew,ज्यू
narrow,अरुंद
cream,मलई
secretary,सचिव
gate,गेट
solid,घन
hill,टेकडी
typically,सामान्यतः
noise,आवाज
grass,गवत
unfortunately,दुर्दैवाने
hat,टोपी
legislation,कायदा
succeed,यशस्वी
either,एकतर
celebrate,साजरा करणे
achievement,उपलब्धी
fishing,मासेमारी
drink,पेय
accuse,आरोप
hand,हात
useful,उपयुक्त
land,जमीन
secret,गुप्त
reject,नाकारणे
talent,प्रतिभा
taste,चव
characteristic,वैशिष्ट्यपूर्ण
milk,दूध
escape,सुटणे
cast,कास्ट
sentence,वाक्य
unusual,असामान्य
closely,जवळून
convince,पटवणे
height,उंची
physician,वैद्य
assess,मूल्यांकन
sleep,झोप
plenty,भरपूर
ride,सवारी
virtually,अक्षरशः
first,पहिला
addition,या व्यतिरिक्त
sharp,तीक्ष्ण
creative,सर्जनशील
lower,कमी
behind,मागे
approve,मंजूर
explanation,स्पष्टीकरण
outside,बाहेर
gay,समलिंगी
campus,कॅम्पस
proper,योग्य
live,राहतात
guilty,अपराधी
living,जगणे
acquire,घेणे
compete,स्पर्धा करणे
technical,तांत्रिक
plus,अधिक
mind,मन
potential,संभाव्य
immigrant,स्थलांतरित
weak,कमकुवत
illegal,बेकायदेशीर
hi,हाय
alternative,पर्यायी
interaction,परस्परसंवाद
column,स्तंभ
personality,व्यक्तिमत्व
signal,सिग्नल
curriculum,अभ्यासक्रम
list,यादी
honor,सन्मान
passenger,प्रवासी
assistance,मदत
forever,कायमचे
fun,मजा
regard,आदर
Israeli,इस्रायली
association,संघटना
twenty,वीस
knock,ठोका
review,पुनरावलोकन
wrap,लपेटणे
lab,प्रयोगशाळा
offer,ऑफर
display,प्रदर्शन
criticism,टीका
asset,मालमत्ता
depression,नैराश्य
spiritual,आध्यात्मिक
musical,संगीत
journalist,पत्रकार
prayer,प्रार्थना
suspect,संशयित
scholar,विद्वान
warning,चेतावणी
climate,हवामान
cheese,चीज
observation,निरीक्षण
childhood,बालपण
payment,पेमेंट
sir,सर
permit,परवानगी
cigarette,सिगारेट
definition,व्याख्या
priority,प्राधान्य
bread,ब्रेड
creation,निर्मिती
graduate,पदवीधर
request,विनंती
emotion,भावना
scream,किंचाळणे
dramatic,नाट्यमय
universe,विश्व
gap,अंतर
excellent,उत्कृष्ट
deeply,खोलवर
prosecutor,फिर्यादी
mark,चिन्ह
green,हिरवा
lucky,नशीबवान
drag,ड्रॅग
airline,विमान सेवा
library,लायब्ररी
agenda,अजेंडा
recover,पुनर्प्राप्त
factory,कारखाना
selection,निवड
primarily,प्रामुख्याने
roof,छप्पर
unable,अक्षम
expense,खर्च
initiative,पुढाकार
diet,आहार
arrest,अटक
funding,निधी
therapy,उपचार
wash,धुवा
schedule,वेळापत्रक
sad,दुःखी
brief,संक्षिप्त
housing,गृहनिर्माण
post,पोस्ट
purchase,खरेदी
existing,विद्यमान
dark,गडद
steel,स्टील
regarding,संबंधित
shout,ओरडणे
remaining,बाकी
visual,दृश्य
fairly,प्रामाणिकपणे
chip,चिप
violent,हिंसक
silent,शांत
suppose,समजा
self,स्वत:
bike,दुचाकी
tea,चहा
perceive,जाणणे
comparison,तुलना
settlement,सेटलमेंट
layer,थर
planning,नियोजन
far,दूर
description,वर्णन
later,नंतर
slow,मंद
slide,स्लाइड
widely,मोठ्या प्रमाणावर
wedding,लग्न
inform,माहिती द्या
portion,भाग
territory,प्रदेश
immediate,तात्काळ
opponent,विरोधक
abandon,सोडून देणे
link,दुवा
mass,वस्तुमान
lake,लेक
transform,रूपांतर
tension,तणाव
display,प्रदर्शन
leading,अग्रगण्य
bother,त्रास देणे
consist,समावेश
alcohol,दारू
enable,सक्षम करा
bend,वाकणे
saving,बचत
gain,मिळवणे
desert,वाळवंट
shall,करेल
error,त्रुटी
release,सोडणे
cop,पोलीस
Arab,अरब
double,दुप्पट
walk,चालणे
sand,वाळू
Spanish,स्पॅनिश
rule,नियम
hit,दाबा
print,छापणे
preserve,जतन करणे
passage,रस्ता
formal,औपचारिक
transition,संक्रमण
existence,अस्तित्व
album,अल्बम
participation,सहभाग
arrange,व्यवस्था
atmosphere,वातावरण
joint,संयुक्त
reply,उत्तर
cycle,सायकल
opposite,विरुद्ध
lock,कुलूप
whole,संपूर्ण
deserve,पात्र
consistent,सुसंगत
resistance,प्रतिकार
discovery,शोध
tear,फाडणे
exposure,उद्भासन
pose,पोझ
stream,प्रवाह
sale,विक्री
trust,विश्वास
benefit,फायदा
pot,भांडे
grand,भव्य
mine,माझे
hello,नमस्कार
coalition,युती
tale,कथा
knife,चाकू
resolve,निराकरण
racial,वांशिक
phase,टप्पा
present,उपस्थित
joke,विनोद
coat,कोट
Mexican,मेक्सिकन
symptom,लक्षणं
contact,संपर्क
manufacturer,निर्माता
philosophy,तत्वज्ञान
potato,बटाटा
interview,मुलाखत
foundation,पाया
quote,कोट
online,ऑनलाइन
pass,पास
negotiation,वाटाघाटी
good,चांगले
urge,आग्रह
occasion,प्रसंग
dust,धूळ
breathe,श्वास घेणे
elect,निवडून
investigator,अन्वेषक
jacket,जाकीट
glad,आनंद
ordinary,सामान्य
reduction,कपात
rarely,क्वचितच
shift,शिफ्ट
pack,पॅक
suicide,आत्महत्या
numerous,असंख्य
touch,स्पर्श
substance,पदार्थ
discipline,शिस्त
elsewhere,इतरत्र
iron,लोखंड
practical,व्यावहारिक
moreover,शिवाय
passion,आवड
volunteer,स्वयंसेवक
implement,अंमलबजावणी करणे
essentially,मूलत:
gene,जनुक
enforcement,अंमलबजावणी
vs,वि
sauce,सॉस
independence,स्वातंत्र्य
marketing,विपणन
priest,पुजारी
amazing,आश्चर्यकारक
intense,तीव्र
advance,प्रगती
employer,नियोक्ता
shock,धक्का
inspire,प्रेरणा
adjust,समायोजित करा
retire,निवृत्त
sure,खात्रीने
visible,दृश्यमान
kiss,चुंबन
illness,आजार
cap,टोपी
habit,सवय
competitive,स्पर्धात्मक
juice,रस
congressional,काँग्रेसचे
involvement,सहभाग
dominate,वर्चस्व
previously,पूर्वी
whenever,केव्हाही
transfer,हस्तांतरण
analyze,विश्लेषण करा
another,दुसरा
attach,संलग्न करा
for,च्या साठी
Indian,भारतीय
disaster,आपत्ती
parking,पार्किंग
prospect,संभावना
boss,बॉस
complaint,तक्रार
championship,चॅम्पियनशिप
coach,प्रशिक्षक
exercise,व्यायाम
fundamental,मूलभूत
severe,गंभीर
enhance,वाढविण्यासाठी
mystery,रहस्य
impose,लादणे
poverty,गरिबी
other,इतर
entry,प्रवेश
fat,चरबी
spending,खर्च करणे
king,राजा
evaluate,मूल्यांकन करा
symbol,चिन्ह
still,अजूनही
trade,व्यापार
maker,निर्माता
mood,मूड
accomplish,पूर्ण करणे
emphasis,जोर
illustrate,स्पष्ट करणे
boot,बूट
monitor,मॉनिटर
Asian,आशियाई
entertainment,मनोरंजन
bean,बीन
evaluation,मूल्यमापन
creature,प्राणी
commander,कमांडर
digital,डिजिटल
arrangement,व्यवस्था
concentrate,लक्ष केंद्रित
total,एकूण
usual,नेहमीच्या
anger,राग
psychological,मानसिक
heavily,जोरदारपणे
peak,शिखर
approximately,अंदाजे
increasing,वाढत आहे
disorder,विकार
missile,क्षेपणास्त्र
equally,तितकेच
vary,बदलते
wire,तार
round,गोल
distribution,वितरण
transportation,वाहतूक
holy,पवित्र
ring,अंगठी
twin,जुळे
command,आज्ञा
commission,कमिशन
interpretation,व्याख्या
breakfast,नाश्ता
stop,थांबा
strongly,जोरदार
engineering,अभियांत्रिकी
luck,नशीब
so-called,तथाकथित
constant,स्थिर
race,शर्यत
clinic,चिकित्सालय
veteran,अनुभवी
smell,वास
tablespoon,चमचे
capable,सक्षम
nervous,चिंताग्रस्त
tourist,पर्यटक
light,प्रकाश
toss,नाणेफेक
crucial,निर्णायक
bury,पुरणे
pray,प्रार्थना
tomato,टोमॅटो
exception,अपवाद
butter,लोणी
deficit,तूट
bathroom,स्नानगृह
objective,उद्देश
block,ब्लॉक
electronic,इलेक्ट्रॉनिक
ally,सहयोगी
journey,प्रवास
reputation,प्रतिष्ठा
mixture,मिश्रण
surely,नक्कीच
tower,टॉवर
smoke,धूर
confront,सामना
pure,शुद्ध
glance,दृष्टीक्षेप
dimension,परिमाण
toy,खेळणी
prisoner,कैदी
fellow,सहकारी
smooth,गुळगुळीत
nearby,जवळपास
peer,समवयस्क
designer,डिझायनर
personnel,कर्मचारी
shape,आकार
educator,शिक्षक
relative,नातेवाईक
immigration,इमिग्रेशन
belt,पट्टा
teaspoon,चमचे
birthday,वाढदिवस
implication,तात्पर्य
perfectly,उत्तम प्रकारे
coast,किनारा
supporter,समर्थक
accompany,सोबत
silver,चांदी
teenager,किशोर
recognition,ओळख
retirement,सेवानिवृत्ती
flag,झेंडा
recovery,पुनर्प्राप्ती
whisper,कुजबुजणे
watch,घड्याळ
gentleman,सज्जन
corn,कॉर्न
moon,चंद्र
inner,आतील
junior,कनिष्ठ
rather,त्याऐवजी
throat,घसा
salary,पगार
swing,स्विंग
observer,निरीक्षक
due,देय
straight,सरळ
publication,प्रकाशन
pretty,सुंदर
crop,पीक
dig,खोदणे
strike,संप
permanent,कायम
plant,वनस्पती
phenomenon,घटना
anxiety,चिंता
unlike,विपरीत
wet,ओले
literally,अक्षरशः
resist,प्रतिकार करणे
convention,अधिवेशन
embrace,आलिंगन
supply,पुरवठा
assist,मदत
exhibition,प्रदर्शन
construct,बांधणे
viewer,दर्शक
pan,पॅन
consultant,सल्लागार
soon,लवकरच
line,ओळ
administrator,प्रशासक
date,तारीख
occasionally,अधूनमधून
mayor,महापौर
consideration,विचार
CEO,सीईओ
secure,सुरक्षित
pink,गुलाबी
smoke,धूर
estimate,अंदाज
buck,बोकड
historic,ऐतिहासिक
poem,कविता
grandmother,आजी
bind,बांधणे
fifth,पाचवा
constantly,सतत
enterprise,उपक्रम
favor,अनुकूलता
testing,चाचणी
stomach,पोट
apparent,उघड
weigh,वजन
install,स्थापित करा
sensitive,संवेदनशील
suggestion,सूचना
mail,मेल
recipe,कृती
reasonable,वाजवी
preparation,तयारी
wooden,लाकडी
elementary,प्राथमिक
concert,मैफिल
aggressive,आक्रमक
FALSE,असत्य
intention,हेतू
channel,चॅनल
extreme,अत्यंत
tube,ट्यूब
drawing,रेखाचित्र
protein,प्रथिने
quit,सोडणे
absence,अनुपस्थिती
roll,रोल
Latin,लॅटिन
rapidly,वेगाने
jail,तुरुंग
comment,टिप्पणी
diversity,विविधता
honest,प्रामाणिक
Palestinian,पॅलेस्टिनी
pace,गती
employment,रोजगार
speaker,स्पीकर
impression,छाप
essay,निबंध
respondent,प्रतिसादक
giant,राक्षस
cake,केक
historian,इतिहासकार
negotiate,वाटाघाटी
restore,पुनर्संचयित करा
substantial,लक्षणीय
pop,पॉप
particular,विशिष्ट
specialist,विशेषज्ञ
origin,मूळ
approval,मान्यता
mine,माझे
quietly,शांतपणे
advise,सल्ला
conventional,पारंपारिक
drop,थेंब
count,मोजणे
depth,खोली
wealth,संपत्ती
disability,दिव्यांग
shell,शेल
general,सामान्य
criticize,टीका करणे
fast,जलद
professional,व्यावसायिक
effectively,प्रभावीपणे
biological,जैविक
pack,पॅक
onion,कांदा
deputy,उप
flat,फ्लॅट
brand,ब्रँड
assure,खात्री देणे
mad,वेडा
award,पुरस्कार
criteria,निकष
dealer,विक्रेता
via,द्वारे
alternative,पर्यायी
utility,उपयुक्तता
precisely,तंतोतंत
arise,उद्भवू
armed,सशस्त्र
nevertheless,तरीही
highway,महामार्ग
clinical,क्लिनिकल
routine,दिनचर्या
schedule,वेळापत्रक
wage,वेतन
normally,साधारणपणे
phrase,वाक्यांश
ingredient,घटक
stake,भागभांडवल
Muslim,मुसलमान
dream,स्वप्न
fiber,फायबर
activist,कार्यकर्ता
Islamic,इस्लामिक
snap,स्नॅप
terrorism,दहशतवाद
refugee,निर्वासित
incorporate,समाविष्ट करणे
hip,नितंब
ultimate,अंतिम
switch,स्विच
corporation,महामंडळ
valuable,मौल्यवान
assumption,गृहीतक
gear,गियर
graduate,पदवीधर
barrier,अडथळा
